song_id,song_name,artist_name,album_name,date_added,track_path,play_count,duration,cloud_status,is_favorited,hash
4626,Uptown Funk (with Mark Ronson),Bruno Mars,Uptown Funk,2020-11-20,/Users/alex/Music/Musica/Music/Bruno Mars/Uptown Funk/Uptown Funk (with Mark Ronson).mp3,77,252,unknown,0,523cfcaf44379f7cd3762ff395419b4d01d65a6b54c815379a6163eef45b82ba
7828,Finesse,Bruno Mars,24K Magic,2021-02-20,/Users/alex/Music/Musica/Music/Bruno Mars/24K Magic/Finesse.mp3,76,191,unknown,1,ffb42d4d754758759b11bf6b7c207f6bb6037eff70cf925e2cc4c7664e993735
4882,That’s What I Like,Bruno Mars,24K Magic,2020-11-20,/Users/alex/Music/Musica/Music/Bruno Mars/24K Magic/That_s What I Like.mp3,11,211,unknown,0,b4e48963a5bf96dfdb3511b24eaa3d97e9963bc4905d71769bb58d5c460c9662
5738,24K Magic,Bruno Mars,24K Magic,2020-11-20,/Users/alex/Music/Musica/Music/Bruno Mars/24K Magic/24K Magic.mp3,24,227,unknown,0,7c6e583b06b826b89cb27c57e372c87399f5d6af0d19041b064805be9c4e8ba4
7002,Horns,Bryce Fox,Horns,2020-11-20,/Users/alex/Music/Musica/Music/Bryce Fox/Horns/Horns.mp3,61,204,unknown,1,e70402f44679431458f9455c73b679362bfd6cd671079dfae266823ccc15b8b7
4346,Boyfriend,BTR,,2020-11-20,/Users/alex/Music/Musica/Music/BTR/Unknown Album/Boyfriend.mp3,47,221,unknown,0,483906cdc5953b00995b4913cf1d8fba71e3295b361baa5d11797c00002cf577
7694,Life Goes On,BTS,Be,2020-11-21,/Users/alex/Music/Musica/Music/BTS/Be/01 Life Goes On.mp3,94,222,unknown,0,ff8b33bf3379bd0c6909ace6e020796c474ab681b36e9bfcfc177605ba3a7a0c
7696,Fly To My Room,BTS,Be,2020-11-21,/Users/alex/Music/Musica/Music/BTS/Be/02 Fly To My Room.mp3,78,222,unknown,1,01dca208f7034305a95f9eda3f463f50f005336b59832e2a528b4f862048bb1c
7698,Blue & Grey,BTS,Be,2020-11-21,/Users/alex/Music/Musica/Music/BTS/Be/03 Blue & Grey.mp3,17,255,unknown,0,327f4c54ed88cce0f2f2a65b22a9f7daf3d030c705e31eb30ba0ca991fe6b224
7700,Skit,BTS,Be,2020-11-21,/Users/alex/Music/Musica/Music/BTS/Be/04 Skit.mp3,9,180,unknown,0,1da253857d847113ae576024411d84ca03216026bd8533f2108712c54c4fcb7a
7702,잠시 - Telepathy,BTS,Be,2020-11-21,/Users/alex/Music/Musica/Music/BTS/Be/05 잠시 - Telepathy.mp3,94,202,unknown,1,0e7e23ea0ac778ebe88d32328958fe9d74895e42e19626c22bbc3fdbb66da0bc
7704,병 - Dis-ease,BTS,Be,2020-11-21,/Users/alex/Music/Musica/Music/BTS/Be/06 병 - Dis-ease.mp3,76,240,unknown,1,7737dad376cf522fac91543dc3240f146ab0fdeef17fa5211deccf37646a11d5
7706,Stay,BTS,Be,2020-11-21,/Users/alex/Music/Musica/Music/BTS/Be/07 Stay.mp3,43,205,unknown,0,370db7d5536fb95b71b70238413220584727e3a7db928cbc035207edfccf5516
7606,Dynamite,BTS,Be,2020-11-20,/Users/alex/Music/Musica/Music/BTS/Be/08 Dynamite.mp3,182,200,unknown,1,7e4eddb15419b697b799ee85fdff02866c18ca04679d93fd9b41be097d6b0036
8086,Butter,BTS,Butter,2021-05-23,/Users/alex/Music/Musica/Music/BTS/Butter/Butter.mp3,37,162,unknown,1,93ae6e745adaeeb6904849ceb3bb2e6e072c628156a0adf103c29915c29e9284
7668,War Of Hormones,BTS,Dark & Wild,2020-11-20,/Users/alex/Music/Musica/Music/BTS/Dark & Wild/War Of Hormones.mp3,43,290,unknown,0,210c5ecc1acc38e5a5d096bae7beea20e709c2c097a8bba64dc7a3ceecfd5f20
